category	zenodo_path	local_source	size	used_by
reference	genomes/	UniG_master/genomes/	5.6G	Genome FASTA references for preprocessing, imputation, mapping, and GRN tutorials
raw_input	conditon_data/Mouse_embryonic_brain/	/home/nas3/biod/yangchenghui/proj2/conditon_data/Mouse_embryonic_brain/	1.4G	MISAR-seq integration and imputation tutorials
raw_input	conditon_data/ISSAAC/	/home/nas3/biod/yangchenghui/proj2/conditon_data/ISSAAC/	6.1G	ISSAAC mapping tutorials
raw_input	Human_heart_data/HumanHeart_spatial_RNA.h5ad	/home/nas3/biod/yangchenghui/proj2/Human_heart_data/HumanHeart_spatial_RNA.h5ad	200.5M	Human heart mapping tutorial
raw_input	human_GBM_data/GBM_adata_atac.h5ad	/home/nas3/biod/yangchenghui/proj2/human_GBM_data/GBM_adata_atac.h5ad	28.6M	GBM UniG tutorial
raw_input	human_GBM_data/GBM_adata_rna.h5ad	/home/nas3/biod/yangchenghui/proj2/human_GBM_data/GBM_adata_rna.h5ad	55.3M	GBM UniG tutorial
processed_input	proj2_on_HumanHeart/SIMBA_result/heart_sc_ATAC_adata_5k.h5ad	/home/nas3/biod/yangchenghui/proj2/proj2_on_HumanHeart/SIMBA_result/heart_sc_ATAC_adata_5k.h5ad	1.6G	Human heart mapping tutorial
processed_input	proj2_on_HumanHeart/SIMBA_result/heart_sc_RNA_adata_5k.h5ad	/home/nas3/biod/yangchenghui/proj2/proj2_on_HumanHeart/SIMBA_result/heart_sc_RNA_adata_5k.h5ad	235.4M	Human heart mapping tutorial
processed_input	proj2_on_HumanHeart/UniG_result/HumanHeart_UniG_adata_dict.pkl	/home/nas3/biod/yangchenghui/proj2/proj2_on_HumanHeart/UniG_result/HumanHeart_UniG_adata_dict.pkl	25.5M	Human heart mapping tutorial
processed_input	proj2_on_ISSAAC/UniG_result/ISSAAC_UniG_adata_dict.pkl	/home/nas3/biod/yangchenghui/proj2/proj2_on_ISSAAC/UniG_result/ISSAAC_UniG_adata_dict.pkl	6.2M	ISSAAC mapping tutorial
processed_input	proj2_on_ISSAAC_P22/UniG_result/ISSAAC_P22_UniG_adata_dict.pkl	/home/nas3/biod/yangchenghui/proj2/proj2_on_ISSAAC_P22/UniG_result/ISSAAC_P22_UniG_adata_dict.pkl	7.6M	ISSAAC P22 mapping tutorial
processed_input	proj2_on_SpatialP22/UniG_result/P22_UniG_adata_dict.pkl	/home/nas3/biod/yangchenghui/proj2/proj2_on_SpatialP22/UniG_result/P22_UniG_adata_dict.pkl	16.1M	P22 FGOT tutorial
processed_input	proj2_on_SpatialP22/UniG_result/P22_UniG_bg_adata_dict.pkl	/home/nas3/biod/yangchenghui/proj2/proj2_on_SpatialP22/UniG_result/P22_UniG_bg_adata_dict.pkl	13.4M	P22 GRN tutorial
processed_input	proj2_on_SpatialP22/downstream_regulation/FGOT_result/P22_regulatory_cluster.csv	/home/nas3/biod/yangchenghui/proj2/proj2_on_SpatialP22/downstream_regulation/FGOT_result/P22_regulatory_cluster.csv	24.9M	P22 GRN tutorial
processed_input	proj2_on_GBM/SIMBA_result/adata_GenePeak_final.h5ad	/home/nas3/biod/yangchenghui/proj2/proj2_on_GBM/SIMBA_result/adata_GenePeak_final.h5ad	1.8M	GBM FGOT tutorial
processed_input	proj2_on_GBM/UniG_result/HumanGBM_UniG_adata_dict.pkl	/home/nas3/biod/yangchenghui/proj2/proj2_on_GBM/UniG_result/HumanGBM_UniG_adata_dict.pkl	7.1M	GBM FGOT and trait tutorials
processed_input	proj2_on_GBM/UniG_result/HumanGBM_UniG_bg_adata_dict.pkl	/home/nas3/biod/yangchenghui/proj2/proj2_on_GBM/UniG_result/HumanGBM_UniG_bg_adata_dict.pkl	7.1M	GBM trait tutorial
processed_input	proj2_on_GBM/downstream_trait/FGOT_result/GBM_regulatory_cluster.csv	/home/nas3/biod/yangchenghui/proj2/proj2_on_GBM/downstream_trait/FGOT_result/GBM_regulatory_cluster.csv	16.8M	GBM UniG and trait tutorials
processed_input	proj2_on_GBM/downstream_trait/trait_localization_output/gsmap_fast_workdir/UniG_GBM_RNA.h5ad	/home/nas3/biod/yangchenghui/proj2/proj2_on_GBM/downstream_trait/trait_localization_output/gsmap_fast_workdir/UniG_GBM_RNA.h5ad	108.9M	GBM gsMap trait tutorial
trait_reference	MAGMA/	/home/nas3/biod/yangchenghui/proj2/MAGMA/	3.9G	GBM scMORE/MAGMA tutorial
trait_reference	gsMap_Reproduction_ych/gsMap_resource/	/home/nas3/biod/yangchenghui/proj2/gsMap_Reproduction_ych/gsMap_resource/	3.4G	GBM gsMap trait tutorial
trait_input	gwas_data/	/home/nas3/biod/yangchenghui/proj2/gwas_data/	4.9G	GBM gsMap and scMORE trait tutorials
